Title: The HD 191939 Exoplanet System is Well-Aligned and Flat 
Authors: Lubin J., Petigura E.A., Van Zandt J., Beard C., Dai F., Halverson S.,
         Holcomb R., Howard A., Isaacson H., Luhn J., Robertson P., 
         Rubenzahl R.A., Stefansson G., Winn J.N., Brodheim M., Deich W., 
         Hill G.M., Gibson S.R., Holden B., Householder A., Laher R.R., 
         Lanclos K., Payne J., Roy A., Smith R., Shaum A.P., 
         Schwab C., Walawender J. 
Table: Observations
================================================================================
Byte-by-byte Description of file: ajad79edt3_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label   Explanations
--------------------------------------------------------------------------------
   1- 13 F13.5  d       BJD     Barycentric Julian Date
  15- 22 F8.2   m/s     RVel    Radial velocity from Inst
  24- 28 F5.2   m/s   e_RVel    Uncertainty in RVel
  30- 37 A8     ---     Inst    Instrument used
  39- 47 A9     ---     Source  Source identifier (1)
--------------------------------------------------------------------------------
Note (1):
            A = Orell-Miquel et al. (2023) [2023A&A...669A..40O];
            B = Lubin et al. (2022) [2022AJ....163..101L];
            C = Polanski et al. (2024) [2024ApJS..272...32P];
    This work = These three are the only RVs used in this study that 
                have not been previously published.
--------------------------------------------------------------------------------
2458794.29057   -18.23  3.23 CARMENES A
2458795.34531   -23.38  3.31 CARMENES A
2458795.83217   -31.55  1.22 HIRES    B
2458796.28232   -22.80  2.24 CARMENES A
2458800.34202   -11.23  3.69 CARMENES A
2458801.32215    -8.18  3.31 CARMENES A
2458802.79992   -21.22  1.22 HIRES    B
2458804.37441   -10.72  4.05 CARMENES A
2458815.30234   -11.45  2.52 CARMENES A
2458815.77873   -26.36  1.19 HIRES    B
2458816.32492    -7.06  2.31 CARMENES A
2458817.35503   -12.02  2.51 CARMENES A
2458819.74319   -22.21  1.30 HIRES    B
2458827.69351   -20.20  1.35 HIRES    B
2458832.70554   -33.62  1.36 HIRES    B
2458833.70495   -30.42  1.33 HIRES    B
2458834.32145   -23.00  4.30 CARMENES A
2458834.64673   -31.67  3.64 APF      B
2458834.66113   -21.78  3.74 APF      B
2458836.30371   -18.07  2.85 CARMENES A
2458837.73426   -38.01  4.32 APF      B
2458837.74849   -27.43  5.35 APF      B
2458841.30810   -23.91  2.16 CARMENES A
2458842.27037   -24.70  2.94 CARMENES A
2458843.29140   -29.66  2.37 CARMENES A
2458844.30811   -29.77  3.87 CARMENES A
2458844.71076   -37.75  1.18 HIRES    B
2458845.69274   -34.90  1.29 HIRES    B
2458846.26421   -25.58  1.69 CARMENES A
2458846.74153   -47.71  4.33 APF      B
2458847.26366   -25.36  1.89 CARMENES A
2458848.58452   -52.21  4.16 APF      B
2458848.59892   -44.28  4.75 APF      B
2458852.70620   -46.21  1.28 HIRES    B
2458853.02936   -56.98  5.55 APF      B
2458853.04508   -61.74  5.31 APF      B
2458854.60541   -49.64  6.20 APF      B
2458854.61313   -57.41  7.11 APF      B
2458857.70590   -42.93  1.52 HIRES    B
2458859.71347   -54.76  4.79 APF      B
2458859.72818   -48.82  4.27 APF      B
2458871.64070   -60.00  6.81 APF      B
2458871.64910   -56.54  6.77 APF      B
2458876.68320   -61.87  4.75 APF      B
2458876.69688   -66.81  4.97 APF      B
2458880.66477   -54.07  4.84 APF      B
2458880.67982   -41.55  4.40 APF      B
2458881.64175   -41.37  3.74 APF      B
2458885.93697   -50.94  7.26 APF      B
2458893.74939   -15.97  1.86 CARMENES A
2458896.74540   -14.78  1.92 CARMENES A
2458897.74635   -20.75  3.68 CARMENES A
2458912.90693    -6.47  4.41 APF      B
2458913.67946    -3.04  2.90 CARMENES A
2458914.71633     9.50  5.32 CARMENES A
2458915.05804   -20.93  6.89 APF      B
2458917.67743     6.87  2.77 CARMENES A
2458922.05352   -17.22  2.86 APF      B
2458922.70464     2.69  3.94 CARMENES A
2458923.71043    -5.05  2.46 CARMENES A
2458924.67427    -7.45 13.05 CARMENES A
2458954.97074   -50.06  2.96 APF      B
2458961.93676   -43.53  3.39 APF      B
2458964.95193   -42.27  2.70 APF      B
2458966.92595   -53.88  4.14 APF      B
2458968.91338   -36.15  3.76 APF      B
2458969.74785   -44.53  4.47 APF      B
2458970.93184   -32.43  4.33 APF      B
2458971.81505   -34.07  3.36 APF      B
2458973.83348   -38.56  3.15 APF      B
2458974.91035   -41.49  2.92 APF      B
2458976.89002   -39.91  4.17 APF      B
2458977.89048   -43.10  3.07 APF      B
2458978.93816   -39.64  2.96 APF      B
2458979.78468   -31.26  3.42 APF      B
2458985.91150   -44.07  7.72 APF      B
2458988.63475   -15.79  1.73 CARMENES A
2458989.64348   -15.68  1.76 CARMENES A
2458990.64706   -11.20  2.28 CARMENES A
2458991.63978   -14.75  2.16 CARMENES A
2458992.59651   -15.17  1.93 CARMENES A
2458993.64760    -8.75  1.89 CARMENES A
2458994.64301   -10.15  1.89 CARMENES A
2458996.10985   -13.60  1.00 HIRES    B
2458996.90561    -8.43  2.61 APF      B
2458997.61493     5.67  3.84 CARMENES A
2458999.46879     4.88  1.89 CARMENES A
2459000.08413   -10.33  1.08 HIRES    B
2459000.59106 -9230.98  0.84 HARPS-N  A
2459000.67429 -9229.99  0.80 HARPS-N  A
2459001.52644     1.16  2.98 CARMENES A
2459002.59511 -9234.39  0.70 HARPS-N  A
2459002.61704     6.37  2.21 CARMENES A
2459002.67837 -9234.08  0.65 HARPS-N  A
2459002.89901   -10.09  3.38 APF      B
2459003.07127    -6.87  1.05 HIRES    B
2459003.82457    -2.98  3.10 APF      B
2459004.06373    -4.81  0.98 HIRES    B
2459004.61073    18.97  3.00 CARMENES A
2459005.89691     6.20  2.92 APF      B
2459006.58280    21.57  2.43 CARMENES A
2459006.82095     2.61  6.62 APF      B
2459007.05345    -1.62  0.98 HIRES    B
2459007.63209    15.26  2.73 CARMENES A
2459008.09490    -1.52  1.02 HIRES    B
2459008.60978    17.73  2.99 CARMENES A
2459009.59091    15.42  2.69 CARMENES A
2459009.84341   -15.49  2.65 APF      B
2459010.63191    16.86  2.83 CARMENES A
2459010.95456   -14.70  2.64 APF      B
2459011.05483    -7.39  0.99 HIRES    B
2459011.91247    -3.40  2.75 APF      B
2459012.06760    -4.67  0.99 HIRES    B
2459012.59953 -9226.13  0.82 HARPS-N  A
2459012.68918 -9225.47  0.68 HARPS-N  A
2459012.82441    -9.01  4.36 APF      B
2459013.03158     0.46  0.97 HIRES    B
2459013.47400    28.52  4.91 CARMENES A
2459013.58150 -9224.07  2.00 HARPS-N  A
2459014.08115     2.43  1.00 HIRES    B
2459014.59987 -9222.71  0.86 HARPS-N  A
2459014.68915 -9219.82  1.03 HARPS-N  A
2459016.82826    -3.43  3.46 APF      B
2459016.93021     0.87  1.31 HIRES    B
2459017.95370    -6.62  3.15 APF      B
2459018.86175   -12.60  2.92 APF      B
2459019.04122    -2.56  1.03 HIRES    B
2459019.84198     0.52  2.89 APF      B
2459021.60396    24.59  3.54 CARMENES A
2459025.02902     0.65  1.10 HIRES    B
2459026.09787     1.58  1.09 HIRES    B
2459027.97119    -6.86  2.62 APF      B
2459028.03175    -4.06  0.94 HIRES    B
2459028.85892    -4.11  4.59 APF      B
2459029.02785    -4.93  0.97 HIRES    B
2459030.04524    -3.69  1.06 HIRES    B
2459030.98273     0.30  2.08 APF      B
2459031.05907     0.62  0.98 HIRES    B
2459032.04101     0.00  1.07 HIRES    B
2459032.64313    26.22  4.49 CARMENES A
2459034.57300    21.38  3.02 CARMENES A
2459034.90128    -1.96  2.24 APF      B
2459035.03751    -1.31  1.04 HIRES    B
2459036.06955    -7.08  1.08 HIRES    B
2459036.90934    -6.38  1.05 HIRES    B
2459039.06554   -11.19  1.01 HIRES    B
2459039.97522   -12.31  2.49 APF      B
2459040.07599    -2.85  1.06 HIRES    B
2459040.90993    -6.42  0.96 HIRES    B
2459041.82087   -15.56  2.72 APF      B
2459041.90890    -8.30  1.01 HIRES    B
