This file was produced by the Exoplanet Follow-up Observing Program website (exofop.ipac.caltech.edu) on Thu Jul 03 11:01:18 2025

"TIC ID","TOI","CTOI","Master priority","SG1B priority","SG2 priority","SG3 priority","SG4 priority","SG5 priority","ESM","TSM","Predicted Mass (M_Earth)","Time Series Observations","Spectroscopy Observations","Imaging Observations","TESS Disposition","TFOPWG Disposition","View all TFOPWG Disposition","TESS mag","Pipeline Signal ID","Source","Detection","RA (deg)","Dec (deg)","PM RA (mas/yr)","PM Dec (mas/yr)","Transit Epoch (BJD)","Period (days)","Duration (hours)","Depth (mmag)","Depth (ppm)","Planet Radius (R_Earth)","Planet Insolation (Earth flux)","Planet Eq Temp (K)","Planet SNR","Stellar Distance (pc)","Stellar Teff (K)","Stellar log(g) (cm/s2)","Stellar Radius (R_Sun)","Stellar Metallicity","Stellar Mass (M_Sun)","Sectors","Comments","Date TOI Alerted (by TESS Project)","Date TOI Updated (by TESS Project)","Date Modified (by ExoFOP-TESS)"
"231663901","101.01","","5","5","5","5","5","5","86.8","209.9","115.19","0","1","3","KP","KP","101.01","12.4069","1","spoc-s01-s69-b0A-KP","SPOC","318.737012","-55.871863","12.641","-16.011","2458326.009117","1.4303699496507","1.6165994039944","20.784","18960.712294363","13.187450307582","1281.2408253875","1525.9048088915","151.72173","375.31","5600","4.48851","0.89077401161194","","1.05","1,27,67","WASP-46 b","2018-09-05","2024-09-06","2024-10-01"
"149603524","102.01","","5","5","5","5","5","5","137.4","179","317","1","2","1","KP","KP","102.01","9.7109","1","qlp-s68-ffi","SPOC/QLP","87.139821","-63.988329","-15.641","26.046","2460187.916571","4.4119378","3.65","16.477767","15062","15.4706","653.252","1408","1112","175.631","6280","4.32092","1.21","0.24","1.28","1,2,3,4,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,36,37,38,39,61,62,64,65,68","WASP 62 b","2019-05-07","2024-10-02","2024-10-03"
"336732616","103.01","","5","5","5","5","5","5","47.7","136.4","116.75","0","0","7","KP","KP","103.01","11.5232","1","sector-01-spoc-alerts","SPOC","312.457488","-24.428694","10.426","15.62","2458327.25256","3.547854","3.494333","11.377523","10424.3718","14.581841","1212.004376","1504.858953","59.5","411.211","6351","4.22896","1.4","","1.27","1","HATS-3 b","2018-09-05","2024-09-06","2024-09-07"
"231670397","104.01","","5","5","5","5","5","5","52.4","122.6","121.75","1","0","3","KP","KP","104.01","9.8638","1","spoc-s01-s36-b0A-CPKP","SPOC","319.949697","-58.148933","10.552","-10.658","2460150.608677","4.0872956","5.5861130474761","3.885379","3572.1712498597","13.62377317646","2242.360540084","1755.0767383266","48.678577","316.678","6036","3.93359","2.2186698913574","","1.16","1,27,67","WASP-73 b","2018-09-05","2023-10-16","2023-10-16"
"144065872","105.01","","5","5","5","5","5","5","187.2","431.1","122.95","1","3","2","KP","KP","105.01","9.4995","1","spoc-s01-s36-b0A-CPKP","SPOC/QLP","337.457824","-48.003099","91.976","-6.861","2459084.58501","2.1846669487206","2.8652800157436","12.786825","11708.022854889","13.702852670325","1362.1381428406","1549.4409801057","349.33414","137.544","5630","4.37759","1.2382400035858","","1.03","1,28","WASP-95; epoch kept from qlp-s28-tois","2018-09-05","2025-03-25","2025-03-25"
"38846515","106.01","","5","5","5","5","5","5","88.4","107","317","1","0","3","KP","KP","106.01","10.3157","1","qlp-s69-ffi","SPOC","68.959816","-64.027039","10.845","-0.499","2460201.638583","2.8493825","3.567","8.774451","8049","16.3869","2005.83","1864","425","364.411","6900","4.438","1.77","","1.44","1,2,3,4,5,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39,61,62,63,64,65,67,68,69","WASP-100 b","2019-05-07","2023-11-16","2023-12-08"
"92352620","107.01","","5","5","5","5","5","5","180.3","267.9","317","0","1","3","KP","KP","107.01","9.6433","1","qlp-s68-ffi","SPOC","313.783239","-34.135751","26.376","-44.947","2460176.993334","3.9502008","4.444","15.213018","13914","20.5357","1009.38","1570","205","211.211","6153","4.18077","1.71","0.22","1.14","1,27,68","WASP-94 A b","2018-09-05","2023-11-15","2023-12-08"
"289793076","108.01","","5","5","5","5","5","5","39.1","115.6","99.64","0","0","4","KP","KP","108.01","13.163","1","spoc","SPOC","316.96148","-26.09672","3.479","-10.313","2458328.08383","3.0440540665342","2.598457480183","24.414911","22236.01653763","12.108679940721","315.98713264737","1075.3184542233","34.314007","421.855","5523","4.52192","0.80986797809601","","0.95","1,28","HATS-13 b","2018-09-05","2021-10-20","2022-12-14"
"29344935","109.01","","5","5","5","5","5","5","33.9","86.9","102.14","0","0","5","KP","KP","109.01","13.2366","1","spoc-s01-s69-b0A-KP","SPOC","313.215475","-25.687376","1.053","-9.881","2458326.127479","2.766760009832","2.6872177698813","16.351489","14947.438782714","12.28673887478","505.88400747642","1209.5741228507","41.24269","513.011","5346","4.48823","0.98486602306366","","0.93","1,28,68","HATS-14 b","2018-09-05","2024-09-09","2024-10-01"
"281459670","110.01","","5","5","5","5","5","5","71","79","317","0","0","1","KP","KP","110.01","11.6714","1","spoc-s01-s69-b0A-KP","SPOC","5.618525","-59.942589","-22.309","-4.893","2458328.039934","3.1743504240477","2.7510859593691","16.913636","15457.324757623","14.917225575404","718.90969938992","1320.6518234321","99.91275","342.14","5943","4.42524","1.1570600271225","-0.1","1.03","1,2,28,29,68","HATS-30 b","2018-11-14","2024-09-09","2024-10-01"
"355703913","111.01","","5","5","5","5","5","5","47","114.2","113.71","1","0","1","KP","KP","111.01","13.183","1","spoc-s01-s69-b0A-KP","SPOC","0.774487","-62.469317","2.894","4.911","2458326.105486","2.1061568796345","1.4688934498723","13.263943","12142.223851431","13.086872039103","691.8428072605","1308.0417533462","38.7845","508.842","5380","4.4337","0.94069701433182","0.245387","0.95","1,2,28,68","HATS-34 b","2018-10-22","2024-03-14","2024-03-16"
"388104525","112.01","","5","5","5","5","5","5","77","179","125.23","1","1","3","KP","KP","112.01","11.6035","1","spoc-s01-s39-b0A-KP","SPOC","55.933639","-65.19378","21.126","16.543","2460069.773646","2.4997995981029","2.865171019079","15.991971","14621.205964725","13.851609281573","907.86241957557","1399.9894383857","375.26334","302.448","5650","4.28867","1.1373200416565","","1","1,2,3,4,7,11,27,28,29,30,31,34,37,61,62,63,64,65","WASP-119 b","2019-05-07","2023-08-10","2023-08-10"
"97409519","113.01","","5","5","5","5","5","5","57.3","67.8","317","0","1","1","KP","KP","113.01","12.1893","1","spoc","SPOC","332.714337","-30.749719","-0.71","-14.516","2458327.053085","3.372877","2.63426","18.796923","17163.60419","14.201803","615.165921","1270.187448","81.3","448.637","6050","4.45061","1.02","","1.17","1","WASP-124","2018-09-05","2020-10-27","2022-12-14"
"25155310","114.01","","5","5","5","5","5","5","54.4","163.4","78.37","0","1","3","KP","KP","114.01","10.6103","1","spoc-s01-s69-b0A-KP","SPOC","63.374706","-69.226593","63.134","53.433","2458327.519958","3.2887898269345","3.4367717302261","7.633138","7005.7247901859","10.513587732178","759.33735331947","1338.8392647365","557.429","216.526","5800","4.28004","1.2417500019073","0.20683","1.01","1,2,3,4,5,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,36,37,38,39,61,63,64,65,66,67,68,69","WASP-126 b","2019-05-07","2024-09-09","2024-10-01"
"281541555","115.01","","5","5","5","5","5","5","21","78.5","78.84","0","0","0","KP","KP","115.01","13.0417","1","spoc-s01-s69-b0A-KP","SPOC","6.70264","-56.316102","21.46","7.316","2458329.903155","4.7423709011808","2.4988145180271","13.823066","12650.811041101","10.550592240554","209.76990429185","970.634099646","50.48632","453.808","5377","4.42476","0.87758499383926","","0.96","1,2,28,29,68,69","HATS-46 b","2018-10-22","2024-09-09","2024-10-01"
"238176110","116.01","","5","5","5","5","5","5","101.9","256.3","97.44","1","0","3","KP","KP","116.01","11.0443","1","spoc-s01-s69-b0A-KP","SPOC","357.846434","-70.152862","96.185","-1.747","2458326.688916","2.7985801841655","2.3801043440507","18.294525","16708.715195736","11.951499291528","332.55624902313","1089.145816919","380.53317","149.942","4920","4.49371","0.90665501356125","0.32","0.81","1,27,28,67,68","WASP-91 b","2018-09-05","2024-09-09","2024-10-01"
"322307342","117.01","","5","5","5","5","5","5","39.9","44.1","317","0","0","1","KP","KP","117.01","11.7806","1","spoc-s01-s36-b0A-CPKP","QLP","15.006077","-58.904724","22.522","7.594","2459063.655791","3.5862961998647","3.3710942972119","6.238423","5729.3246858086","16.474761075541","1787.5955936893","1658.3915202361","32.356964","603.955","5704.8","3.84","2.0044100284576","-0.25","1.02","1,2,28,29","HATS-68 b","2018-09-05","2022-10-17","2022-12-14"
"266980320","118.01","","2","5","4","4","2","4","15.5","105.9","18.15","5","5","7","CP","CP","118.01","9.179","1","qlp-s68-ffi","SPOC","349.559266","-56.903986","313.918","-20.177","2460175.749118","6.0344667","1.89","1.956086","1800","4.44029","64.2648","788","42","94.1719","5586","4.36763","1.05","","0.97","1,28,68","HD 219666 b","2018-09-05","2023-11-15","2023-12-08"
"278683844","119.01","","1","5","5","3","1","4","4.5","60.1","4.84","4","45","1","PC","PC","119.01","9.2789","1","qlp-s68-ffi","SPOC/QLP","99.238421","-58.016153","51.497","-205.6","2460189.428472","5.5411114","2.467","0.687489","633","2.04482","258.843","1117","54","66.6187","5332","4.56429","0.82","","0.86","1,2,3,4,5,6,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39,61,62,63,64,65,66,67,68","Potential multi; slight depth aperture correlation with no offset","2019-05-07","2023-10-16","2023-10-19"
"278683844","119.02","","4","5","5","3","4","4","2.1","40.8","3.89","4","45","1","PC","PC","119.02","9.2789","2","qlp-s68-ffi","SPOC/QLP","99.238421","-58.016153","51.497","-205.6","2460038.721177","10.6917268","3.002","0.581024","535","1.79811","42.2657","710","36","66.6187","5332","4.56429","0.82","","0.86","1,2,3,4,5,6,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39,61,62,63,64,65,66,67","outer candidate in potential multi; variable host","2019-05-17","2023-10-16","2023-10-19"
"394137592","120.01","","3","5","3","4","4","4","79.7","229.1","90.88","0","22","4","CP","CP","120.01","7.1062","1","sector-01-spoc-alerts","SPOC","4.447163","-66.358928","64.763","-5.056","2458332.082805","11.535076","8.555958","2.597913","2389.90616","12.215808","","","32.9","79.5702","5479.3","3.77","2.48771","-0.02","0.96","1","HD 1397 b	","2018-09-05","2021-12-07","2022-12-14"
"207081058","121.01","","5","5","5","3","5","5","56.4","102.7","317","1","5","1","PC","APC","121.01","9.9358","1","qlp-s68-ffi","SPOC","331.867517","-41.815511","49.561","-9.678","2459074.32911","14.7741056","5.504","16.454618","15041","15.3936","123.522","928","80","182.169","6053","4.3135","1.23","","1.14","1,28,68","low-mass EB; initially thought to be a warm Jupiter candidate with a possible secondary; EBLM J2207-41 with 0.121 Msun","2018-09-05","2023-11-15","2023-12-08"
"231702397","122.01","","2","5","2","4","3","4","3.2","66.8","7.46","11","1","5","CP","CP","122.01","13.084","1","spoc-s01-s69-b0A-CP","SPOC","332.948236","-58.946085","138.138","-235.81","2458329.118988","5.07803253492","1.2100353070191","6.450076","5923.1283068509","2.634776336268","8.1743138648138","431.25364398362","15.281929","62.118","3318","4.9581","0.33412501215935","","0.315858","1,27,28,67,68","TOI-122 b","2018-09-05","2024-09-09","2024-10-01"
"290131778","123.01","","3","5","5","4","5","3","410.6","671.4","317","3","21","14","CP","CP","123.01","7.87598","1","qlp-s68-ffi","SPOC/QLP","319.699588","-26.616374","23.236","-57.557","2460175.035028","3.3088922","6.114","5.154262","4736","24.9862","17074.7","3184","133","161.498","6188","4.27166","2.62","","1.263","1,28,68","HD 202772 A b","2018-09-05","2023-11-15","2023-12-08"
"29831208","124.01","","5","5","5","3","5","5","60.6","53.8","317","2","1","1","PC","APC","124.01","11.1311","1","qlp-s39-tois","SPOC","66.58263","-67.806354","7.888","32.653","2460042.199513","1.8428078","1.449","2.119253","1950","21.2705","1687.83","1785","66","809.252","5080","4.48159","4.09","","","1,3,4,5,6,7,8,9,10,11,12,13,27,28,29,30,31,33,34,35,36,37,38,39,62,63,64","TFOP SB1/APC; v-shaped","2018-12-04","2023-10-03","2023-10-05"
"52368076","125.01","","1","5","5","4","1","2","5.5","56.7","7.65","15","6","5","CP","CP","125.01","10.1985","1","qlp-s69-ffi","SPOC/QLP","23.593425","-66.676349","-119.8","-122.953","2460206.744249","4.6517186","2.709","1.06237","978","2.66889","540.772","1343","26","111.059","5154","4.47072","0.85","","0.91","1,2,28,68,69","TOI-125 b / TOI 125.01","2018-10-19","2023-11-15","2023-12-08"
"52368076","125.02","","2","5","5","4","4","2","3.2","44.2","7.42","15","6","5","CP","CP","125.02","10.1985","2","qlp-s69-ffi","SPOC","23.593425","-66.676349","-119.8","-122.953","2460202.049893","9.1549418","2.457","1.196054","1101","2.62011","42.2592","710","18","111.059","5154","4.47072","0.85","","0.91","1,2,28,68,69","TOI-125 c / TOI-125.02","2018-10-19","2024-10-02","2024-10-03"
"52368076","125.03","","1","5","5","4","4","1","1.5","32.8","7.07","15","6","5","CP","CP","125.03","10.1985","3","qlp-s69-ffi","SPOC","23.593425","-66.676349","-119.8","-122.953","2460181.146579","19.9815709","2.724","0.987383","909","2.54717","16.5853","562","10","111.059","5154","4.47072","0.85","","0.91","1,2,28,68,69","TOI-125 d","2018-10-19","2023-10-18","2023-10-19"
"52368076","125.04","","3","3","3","4","4","4","","","","15","6","5","PC","","125.04","10.1985","4","spoc-s01-s69-b0A-PC","SPOC","23.593425","-66.676349","-119.8","-122.953","2460188.729278","","4.6235210769862","0.802403","738.76701563903","2.970003534711","11.066186751447","465.17808695983","8.09336","111.059","5154","4.47072","0.85226601362228","","0.91","1,2,28,68,69","single transit at TBJD  ~ 3188.7","2025-06-05","2025-06-05","2025-06-05"
"70440470","126.01","","5","5","5","5","5","5","41.8","111.5","124.3","0","0","1","KP","KP","126.01","12.7923","1","spoc-s01-s36-b0A-CPKP","UNKNOWN","339.489275","-35.154203","-9.326","-50.142","2458326.731096","3.0353977118465","2.796467795236","17.566776","16049.41204269","13.791158264185","726.756927372","1324.2410444956","41.57743","573.027","5751","4.35036","1.0722399950027","","1.09","1,28","WASP-12 b","2018-11-07","2021-12-08","2022-12-14"
"234523599","127.01","","5","5","5","4","5","5","34.9","146.7","76","3","0","0","CP","CP","127.01","14.1266","1","spoc-s01-s36-b0A-CPKP","SPOC","15.551889","-61.756133","78.858","-27.095","2458325.650603","3.795517783809","2.0198134847305","58.298733","52278.994097885","10.32616194771","18.083233597032","525.94311313137","75.709694","140.225","3424","4.438","0.44537198543549","","0.44159","1,2,28,29","HATS-71 b","2018-11-14","2021-12-09","2022-12-14"
