TOI ID,TOI_1,TOI_2,P1 (days),P2 (days),Rp1 (R_Earth),Rp2 (R_Earth),resonance,delta
TOI 174,TOI 174.04,TOI 174.05,3.9767,7.9076,0.7846286511657077,1.0088082657844812,2:1,-0.0057585435159805964
TOI 175,TOI 175.01,TOI 175.02,3.6907,7.4507,1.3450776877126416,3.026424797353444,2:1,0.009388462893218152
TOI 216,TOI 216.02,TOI 216.01,17.389,34.5059,6.501208823944435,10.424352079772973,2:1,-0.007823911668296102
TOI 270,TOI 270.01,TOI 270.02,5.6606,11.3796,2.353885953497123,2.241796146187736,2:1,0.0051584637670918365
TOI 282,TOI 282.01,TOI 282.03,56.0045,84.2608,4.595682099684859,3.474784026590991,3:2,0.0030241617489070727
TOI 406,TOI 406.02,TOI 406.01,6.6149,13.1757,1.2329878804032548,2.0176165315689625,2:1,-0.004089253049932573
TOI 663,TOI 663.02,TOI 663.03,4.6991,7.1025,3.923143255828538,2.0176165315689625,3:2,0.007639760805260742
TOI 696,TOI 696.02,TOI 696.03,3.6943,4.9652,1.0088082657844812,0.8967184584750945,4:3,0.008012343339739658
TOI 700,TOI 700.04,TOI 700.02,27.8097,37.4237,0.8967184584750945,1.3450776877126416,4:3,0.009280035383337326
TOI 1097,TOI 1097.01,TOI 1097.02,9.1885,13.9028,2.1297063388783495,2.5780655681158966,3:2,0.008710163066151466
TOI 1136,TOI 1136.01,TOI 1136.04,12.5187,18.7955,5.60449036546934,2.1297063388783495,3:2,0.0009292764690687072
TOI 1136,TOI 1136.02,TOI 1136.01,6.2586,12.5187,2.4659757608065096,5.60449036546934,2:1,0.00011983510689295152
TOI 1339,TOI 1339.02,TOI 1339.03,28.5805,38.3513,2.5780655681158966,2.5780655681158966,4:3,0.006402092335683562
TOI 1408,TOI 1408.02,TOI 1408.01,2.2222,4.4247,1.3450776877126416,8.07046612627585,2:1,-0.004432544325443266
TOI 1730,TOI 1730.01,TOI 1730.03,6.2262,12.574,2.80224518273467,2.4659757608065096,2:1,0.009765185827631528
TOI 1749,TOI 1749.01,TOI 1749.02,4.4891,9.0447,2.0176165315689625,2.241796146187736,2:1,0.007406829876812848
TOI 2084,TOI 2084.01,TOI 2084.02,6.0784,8.149,2.1297063388783495,2.5780655681158966,4:3,0.005486641221373878
TOI 2269,TOI 2269.01,TOI 2269.02,1.4206,2.8411,1.2329878804032548,1.4571674950220286,2:1,-3.5196395889114385e-05
TOI 4323,TOI 4323.01,TOI 4323.02,14.6763,21.9693,2.80224518273467,4.1473228704473115,3:2,-0.0020509256420213617
TOI 4495,TOI 4495.02,TOI 4495.01,2.5694,5.183,2.1297063388783495,3.586873833900378,2:1,0.008601229859111159
TOI 5520,TOI 5520.01,TOI 5520.02,14.6981,19.4835,3.1385146046628307,3.586873833900378,4:3,-0.005815377497771834
TOI 6109,TOI 6109.02,TOI 6109.01,5.6952,8.5387,3.923143255828538,4.035233063137925,3:2,-0.0004799363206442475
TOI 6650,TOI 6650.01,TOI 6650.02,20.3292,30.5056,14.235405528292125,5.716580172778727,3:2,0.00038696390741721487
