Planet_Name,SNR_Emission_15_micron,SNR_Emission_5_micron,SNR_Transmission_K_mag,Rp,Mp,Tday,Teq,log10g_p,Period,Transit_Duration,K_mag,Distance,Teff,log10g_s,Transit_Flag,Catalog_Name
TOI 1172.01,,,,,,,0.0,,7.8514,6.727,,875.06,,,True,toi
TOI 1009.01,,,,,,,1456.0,,1.96,2.0065,8.6,866.15,,,True,toi
TOI 1326.01,,,,,,,2522.0,,8.0429,9.504,8.4,285.59,,,True,toi
TOI 637.01,,,,0.18,,,1284.0,,2.8579,3.818,7.7,64.55,,,True,toi
TOI 2870.01,,,,1.76,,,834.0,,5.7656,1.757,11.3,423.11,,,True,toi
TOI 3061.01,,,,,,,1843.0,,1.3186,1.748,12.2,2578.83,,,True,toi
TOI 3953.01,,,,,,,1477.0,,2.9873,1.668,12.3,729.97,,,True,toi
TOI 5032.01,,,,,,,1114.0,,6.0327,4.689,11.5,732.55,,,True,toi
TOI 7108.01,,,,,,,0.0,,2.4425,2.964,12.2,1119.54,,,True,toi
TOI 2326.01,,,,,,,0.0,,58.9971,5.722,8.7,41.49,,,True,toi
TOI 7109.01,,,,,,,0.0,,3.2397,2.42,11.6,565.63,,,True,toi
TOI 4276.01,,,,,,,799.0,,11.8512,3.1401,10.4,,,,True,toi
TOI 271.01,0.021,0.012,,0.25,,2087.0,1606.0,,2.476,1.0467,7.6,100.25,6114.0,4.251,True,toi
TOI 3392.01,,,,,,,0.0,,1.1104,1.604,13.3,1507.41,7008.0,,True,toi
TOI 4801.01,,,,,,,1348.0,,3.2513,2.569,11.5,,,,True,toi
TOI 308.01,,,,1.27,,,750.0,,8.3093,2.201,10.0,,,,True,toi
TOI 1989.01,,,,,,,1206.0,,3.4551,5.7445,9.8,1541.16,,,True,toi
TOI 2738.01,,,,,,,0.0,,1.5174,1.635,11.8,,,,True,toi
TOI 3147.01,,,,,,,1610.0,,1.5257,1.925,11.8,828.07,,,True,toi
TOI 3987.01,,,,,,,0.0,,3.2358,3.629,12.1,1432.74,,,True,toi
TOI 7114.01,,,,,,,0.0,,3.0437,2.414,11.7,593.94,,,True,toi
TOI 7136.01,,,,,,,0.0,,5.6898,4.153,11.5,717.04,,,True,toi
TOI 4782.01,,,,,,,2167.0,,3.7244,2.913,11.6,814.06,,,True,toi
TOI 1161.01,,,,0.85,,,2608.0,,1.7636,3.092,9.4,519.1,7986.0,,True,toi
TOI 1405.01,,,,,,,1434.0,,12.64,6.893,6.8,,,,True,toi
TOI 2052.01,,,,0.39,,,1439.0,,1.6226,1.555,,115.72,,,True,toi
TOI 2909.01,,,,0.84,,,2250.0,,3.0688,3.95,10.8,,,,True,toi
TOI 3215.01,,,,,,,0.0,,1.2008,1.584,11.9,868.98,,,True,toi
TOI 4208.01,,,,,,,0.0,,1.7233,3.005,12.4,1725.36,,,True,toi
TOI 4983.01,,,,,,,1479.0,,5.7527,5.075,12.7,6162.09,,,True,toi
TOI 7094.01,,,,,,,0.0,,2.1125,1.228,11.3,792.54,,,True,toi
TOI 7128.01,,,,,,,0.0,,2.9651,2.412,11.9,1048.98,,,True,toi
TOI 3607.01,,,,,,,0.0,,3.5885,2.481,11.1,,,,True,toi
TOI 1332.01,,,,,,3523.0,0.0,,2.6569,2.615,9.8,645.84,7083.0,3.601,True,toi
TOI 3153.01,,,,,,,1754.0,,1.1216,1.6435,6.3,,,,True,toi
TOI 1973.01,,,,,,,944.0,,3.9195,2.025,9.7,204.98,,,True,toi
TOI 3213.01,,,,,,,1047.0,,2.5396,3.082,12.1,1181.83,,,True,toi
TOI 3201.01,,,,,,,1368.0,,2.3632,2.8376,10.3,,,,True,toi
TOI 1039.01,,,,,,,0.0,,4.4201,3.956,9.8,2864.34,,,True,toi
