draw_index,stable,note,m_b,a_b,e_b,inc_b,Omega_b,omega_b,M_b,m_c,a_c,e_c,inc_c,Omega_c,omega_c,M_c,m_d,a_d,e_d,inc_d,Omega_d,omega_d,M_d,m_e,a_e,e_e,inc_e,Omega_e,omega_e,M_e,detail_file
3186,False,orbit crossing,2.8828745865873613e-05,0.079,0.0,1.5707963267948966,0.0,1.5707963267948966,1.101827867291238,1.3612078e-05,0.17053437,0.118754484,1.5707963267948966,0.0,-2.067196,1.3250327,8.403044e-06,0.20746487,0.10196001,1.5707963267948966,0.0,-2.076192,3.7527087,0.00034269932999498763,0.4,0.0,1.5707963267948966,0.0,4.014257279586958,4.090677566041135,sim_details_e=0_rhill/sim_3186.csv
3002,False,orbit crossing,2.8828745865873613e-05,0.079,0.0,1.5707963267948966,0.0,1.5707963267948966,1.101827867291238,1.6514045e-05,0.17053473,0.18247797,1.5707963267948966,0.0,-2.4827752,1.9313903,1.0897781e-05,0.20746355,0.15650932,1.5707963267948966,0.0,-2.4857578,4.322913,0.00034269932999498763,0.4,0.0,1.5707963267948966,0.0,4.014257279586958,4.090677566041135,sim_details_e=0_rhill/sim_3002.csv
3251,False,orbit crossing,2.8828745865873613e-05,0.079,0.0,1.5707963267948966,0.0,1.5707963267948966,1.101827867291238,1.8871739e-05,0.1705333,0.28383648,1.5707963267948966,0.0,-2.1484458,1.6576843,1.3163603e-05,0.20746845,0.2432012,1.5707963267948966,0.0,-2.1458714,4.0273967,0.00034269932999498763,0.4,0.0,1.5707963267948966,0.0,4.014257279586958,4.090677566041135,sim_details_e=0_rhill/sim_3251.csv
1575,False,orbit crossing,2.8828745865873613e-05,0.079,0.0,1.5707963267948966,0.0,1.5707963267948966,1.101827867291238,1.6027825e-05,0.17053373,0.3012821,1.5707963267948966,0.0,-2.0762794,1.5724497,9.5472615e-06,0.20746705,0.2589178,1.5707963267948966,0.0,-2.0784223,3.9507806,0.00034269932999498763,0.4,0.0,1.5707963267948966,0.0,4.014257279586958,4.090677566041135,sim_details_e=0_rhill/sim_1575.csv
5464,False,orbit crossing,2.8828745865873613e-05,0.079,0.0,1.5707963267948966,0.0,1.5707963267948966,1.101827867291238,1.709488e-05,0.17053398,0.26069775,1.5707963267948966,0.0,-2.2929077,1.8286357,1.2164251e-05,0.20746583,0.22347777,1.5707963267948966,0.0,-2.2928145,4.1996865,0.00034269932999498763,0.4,0.0,1.5707963267948966,0.0,4.014257279586958,4.090677566041135,sim_details_e=0_rhill/sim_5464.csv
3291,False,orbit crossing,2.8828745865873613e-05,0.079,0.0,1.5707963267948966,0.0,1.5707963267948966,1.101827867291238,1.3949118e-05,0.17053454,0.17371798,1.5707963267948966,0.0,-2.842578,2.3210082,7.907573e-06,0.20746209,0.15033501,1.5707963267948966,0.0,-2.8463786,4.713515,0.00034269932999498763,0.4,0.0,1.5707963267948966,0.0,4.014257279586958,4.090677566041135,sim_details_e=0_rhill/sim_3291.csv
2805,False,orbit crossing,2.8828745865873613e-05,0.079,0.0,1.5707963267948966,0.0,1.5707963267948966,1.101827867291238,1.4265419e-05,0.1705343,0.26850203,1.5707963267948966,0.0,-2.419941,2.015472,9.393072e-06,0.20746352,0.23159106,1.5707963267948966,0.0,-2.422706,4.384453,0.00034269932999498763,0.4,0.0,1.5707963267948966,0.0,4.014257279586958,4.090677566041135,sim_details_e=0_rhill/sim_2805.csv
5471,True,stable,2.8828745865873613e-05,0.079,0.0,1.5707963267948966,0.0,1.5707963267948966,1.101827867291238,1.3600726e-05,0.1705349,0.018492978,1.5707963267948966,0.0,-2.1787274,1.3352218,8.424797e-06,0.20746271,0.015734471,1.5707963267948966,0.0,-2.244009,3.8346066,0.00034269932999498763,0.4,0.0,1.5707963267948966,0.0,4.014257279586958,4.090677566041135,sim_details_e=0_rhill/sim_5471.csv
4381,False,orbit crossing,2.8828745865873613e-05,0.079,0.0,1.5707963267948966,0.0,1.5707963267948966,1.101827867291238,1.5794489e-05,0.17053469,0.17554373,1.5707963267948966,0.0,-2.6468332,2.109879,9.961921e-06,0.20746307,0.15091498,1.5707963267948966,0.0,-2.6501591,4.501145,0.00034269932999498763,0.4,0.0,1.5707963267948966,0.0,4.014257279586958,4.090677566041135,sim_details_e=0_rhill/sim_4381.csv
2647,False,encounter,2.8828745865873613e-05,0.079,0.0,1.5707963267948966,0.0,1.5707963267948966,1.101827867291238,1.6903166e-05,0.17053369,0.32848817,1.5707963267948966,0.0,-2.260331,1.9056497,9.537792e-06,0.20746468,0.28271642,1.5707963267948966,0.0,-2.261384,4.2591796,0.00034269932999498763,0.4,0.0,1.5707963267948966,0.0,4.014257279586958,4.090677566041135,sim_details_e=0_rhill/sim_2647.csv
