draw,stability_prob,dmodel_stability_prob,analytical_stability_prob,params.m_c,params.a_c,params.e_c,params.inc_c,params.Omega_c,params.omega_c,params.M_c,params.m_d,params.a_d,params.e_d,params.inc_d,params.Omega_d,params.omega_d,params.M_d,instability.median,instability.lower,instability.upper,instability.expectation_log_normal,instability.samples,collision_probs.prob_12,collision_probs.prob_23,collision_probs.prob_13
0,0.9729925990104675,0.56,0.8936542774483285,1.3259478e-05,0.17053477,0.012879704,0.0,0.0,2.1890683,3.217081,7.4309423e-06,0.207462,0.012258822,0.0,0.0,2.211699,2.7385554,11700116061.180016,24129877.555911876,251150090820.99698,4738226562.498909,"[37879700364.62822, 353062148.26008826, 84331509102.99365, 36290337156.16802, 10762627242.488764, 62131988889.05838, 9947358372.25646, 1.4083794166918104e+16, 174860135126.00208, 119410239274.96255, 333093856994.09106, 2168408872.3670225, 29056852205.208572, 27810634647.50212, 48821291096.30581, 2342392557.373645, 89145902348.56772, 20166819135.896717, 29630410612.58893, 449826643.56420714, 541822583148.2504, 78838620793679.3, 18935119080.617485, 25900521252.446693, 9626775608673.568, 27371848001.046688, 26438055259.422657, 165216649844.9224, 11929987117.052416, 4191755680.159986, 18263804333.842667, 16013953506.33637, 1896437588.951259, 29697518284.522564, 67868010.67886738, 229115888851.90158, 23097166.11838806, 186834803770.00684, 153057307788.19897, 5558115686.274977, 21507511941.754494, 1337513841277.981, 254975618.78256282, 88917292215.08417, 117951578586.24213, 89254429.7015661, 44909466474.06821, 23190813175.240116, 382558457697.8665, 12067940311.212507, 9034753449.010353, 40857822741.073906, 23795538197.01476, 11385466367.649334, 145594866250.71512, 3301434085.0315166, 244757550831.59424, 53668865830.5645, 545172852843.356, 15552614081.56484, 11558754104.376558, 15896205700.916756, 10087180608.172516, 7138710.326566978, 97614852502.50401, 103096463180.63463, 83072692.7211252, 9322956535.113514, 1452261222719.6406, 26848272796.070484, 11299169938.680317, 62324007200.105965, 298495255542.482, 24049860291.970104, 130440158986.54784, 14933198435.70623, 360992829810.51154, 974058849048.239, 296465039322.2841, 301936654474.8218, 289517855824.037, 37195461189.628105, 24279591569.395687, 106484692313.7233, 76905520191.85379, 12178283169616.953, 10117306358.310856, 97199383878.13904, 2830297797.412149, 262349814678.66574, 1100228473643.271, 13614809723.512587, 64966235453.87803, 775140178274.3795, 269810509.80751973, 1287308456.212178, 144900032.75577673, 94397308794.29846, 401728154.62677056, 998487393.7444049]",0.0,0.0,0.0
1,0.9730502963066101,0.515,0.8906428748833413,1.3276039e-05,0.17053477,0.013744581,0.0,0.0,2.431259,2.980814,7.4741365e-06,0.20746182,0.01302479,0.0,0.0,2.4404688,2.5146174,11506477946.182564,22385873.384879444,234803039032.20486,4506162549.675216,"[37879431416.059395, 299646948.25316477, 84330860473.08374, 36290092017.05115, 10762561747.344282, 62131535160.87375, 9947298445.22788, 1.4083163291994628e+16, 174858706778.57614, 119409321443.22287, 333090890449.65924, 1802521302.230903, 29056663708.985477, 27810451399.35787, 48820949212.50394, 1974180284.6697865, 8984426898.280136, 20166693309.353893, 122688679411.20357, 365460411.62562585, 198988783832.00122, 541817429244.11884, 18934994395.925987, 88665499894.31396, 25900347768.876865, 10379908506886.338, 26437877512.369137, 165215316618.79282, 8076192642586295.0, 3624203777.945285, 343379995390.0784, 18263690831.964954, 1579941088.2459452, 304405640201.93396, 53550679.96160421, 52824878108.201546, 18469550.983743656, 197568296872.18375, 186833273310.79034, 4936225291.423322, 21507374054.346508, 27859748349.59175, 204996106.02883434, 88916619590.55582, 112992203493.47717, 73284677.60255815, 26650734349.561123, 44909147460.059586, 23190664992.21775, 7232025469039.135, 9034699089.733355, 7772374152.53771, 40857534922.42704, 23795375278.168125, 11385396209.016582, 2839202075.4587893, 145593711371.47363, 244755467484.33832, 53668477406.36311, 545167772208.3346, 15552517864.896301, 11558684123.81492, 15896101393.080938, 5707438.614314824, 10087119031.769527, 97614120516.32889, 68871216.67697713, 254806142273.10614, 9322900432.227566, 1452246031731.2097, 26848095074.065952, 11299099710.152674, 62323551970.08566, 298492638724.58777, 8574624573.095033, 24049696949.069744, 10654966522251.621, 14933107126.842024, 974049197916.4402, 296462442004.91125, 301933967949.2287, 3626292082677.724, 37195204539.652084, 335965092999.0479, 24279427816.323563, 106483857700.17029, 76904938213.55461, 2355302157254.3086, 2393280984.7553983, 97198645203.754, 14924327570.166132, 262347515648.44208, 13614726407.788946, 29719556369.74263, 220531258.11274743, 1059691306.6743721, 118477868.24145426, 42103154682.947464, 339843492.46125793, 865695267.8605142]",0.0,0.0,0.0
2,0.9729925990104675,0.487,0.8932448245565188,1.31379475e-05,0.17053476,0.012536597,0.0,0.0,2.61779,2.795084,7.28337e-06,0.2074619,0.012067899,0.0,0.0,2.6155841,2.3406672,11804826183.175133,20340801.121060785,236437739450.88647,4622095257.447218,"[37879892564.32433, 324555061.96801233, 84331968449.9423, 36290526538.27563, 10762676558.03463, 62132324768.247635, 9947402590.07674, 1.4084257548184218e+16, 174861176242.78677, 119410930273.1685, 333095958547.0069, 1780256995.1363719, 29057004489.86636, 27810775784.90799, 48821558079.31801, 1905405113.304122, 89146399143.17842, 20166920506.929302, 29630556771.466896, 399506437.611405, 541826405309.737, 78839735595630.45, 18935207287.881218, 25900648431.159954, 9626875158830.389, 27371978217.76213, 26438184832.16368, 165217654785.53012, 11930042217.837244, 3485112587.2707396, 18263893956.23592, 16014028179.210691, 1640045760.6196802, 29697663088.415257, 64275056.12012651, 229117354187.9406, 20263414.023845877, 186835958356.96667, 153058212025.84384, 5250451877.440757, 21507616580.109894, 1337524357539.6206, 224431108.67354867, 88917793422.03453, 117952261229.13167, 79832663.83849177, 44909695245.45323, 23190929685.81515, 382561047164.84534, 12067995054.426205, 9034793592.118078, 7490982127.514594, 23795651211.03784, 21770115287.218323, 11385517942.943472, 2792392327.3755984, 502610003819856.94, 244759100867.37946, 53669154269.563644, 15552686601.442125, 11558806349.941975, 15896280991.931803, 20902070932.06861, 6448981.031555106, 10087226321.881111, 103097054985.0831, 81414421.84737174, 3922564557336.1914, 9322997961.528923, 101920046196983.14, 11299221580.598188, 1725373984364.1736, 62324340913.04843, 286970705131.4387, 24049972348.47239, 10655228498465.473, 14933269994.15802, 974066297497.1112, 296466922900.3255, 301938604197.70306, 3626369104759.8975, 37195646260.21698, 335970295590.0546, 24279708959.96452, 106485301218.48448, 76905936560.07779, 2355348816992.4854, 10117351369.402334, 2451834067.074574, 14924487333.220716, 262351434179.32214, 13614872120.896576, 29719907068.582508, 64966590909.52029, 233936055.48895174, 1087452231.8705108, 134897106.57091194, 94397834379.01422, 366898129.71678376, 938441603.5387365]",0.0,0.0,0.0
3,0.9730974435806274,0.564,0.9000773856872464,1.309415e-05,0.17053474,0.010344051,0.0,0.0,2.41896,2.9876804,7.261513e-06,0.20746182,0.010176309,0.0,0.0,2.444813,2.5060115,11663934689.832535,20449095.788075708,241192982206.67706,4607933077.749469,"[37879933167.77784, 405891324.70270944, 84332074820.72745, 36290561704.50496, 10762686392.34886, 62132392301.83781, 9947411416.08692, 1.4084349333595804e+16, 174861400333.30826, 119411086750.47894, 333096452213.2125, 2389792227.4272046, 29057033421.770622, 27810802636.970917, 48821606149.44832, 2541274534.798164, 89146502870.94435, 20166940253.910645, 29630587868.711308, 589849415.6757807, 541827038135.1178, 78839956021531.8, 18935224508.088448, 25900672739.503174, 9626895191809.99, 27372003360.788834, 26438209552.67973, 165217861203.63388, 11930053184.580042, 4401961185.651182, 18263911792.38789, 16014042890.100065, 2251944669.643013, 29697690414.887077, 105373334.18784085, 229117661054.5634, 27304931.053471167, 186836188263.26532, 153058387108.9722, 6193105857.403264, 21507638166.12007, 1337526378659.6477, 346104642.0274697, 88917888633.36995, 117952395950.1999, 104046070.91969308, 44909745136.777824, 23190952819.888367, 382561500254.2782, 12068005946.674208, 9034801608.217146, 40858080891.90714, 23795672933.790512, 11385528217.970121, 145595921602.058, 3591071584.673723, 244759381926.0173, 53669211033.25462, 545177451411.12976, 15552701666.820217, 11558817065.231846, 15896295832.378052, 10087235445.141527, 8743322.824404698, 97615524944.04565, 103097179651.89236, 121560039.49779189, 9323006233.45061, 1452275259537.3674, 26848434406.23217, 11299231870.455988, 62324410547.91818, 298497508805.3432, 24049996007.507694, 130441086017.62477, 14933284271.84606, 360995687391.90857, 974067663120.237, 296467274659.13324, 301939028496.42505, 289520042848.9323, 37195680406.05384, 24279731502.810516, 106485421727.09816, 76906028512.29408, 12178440517162.234, 10117360352.345074, 97200038630.02213, 3316421837.1970863, 262351795685.47327, 1100238391845.4893, 13614885072.361748, 64966660049.33905, 775146969406.0852, 348380801.87927794, 1566249208.5489159, 208114462.9403837, 94397952514.35114, 460099712.0062435, 1144889651.6505487]",0.0,0.0,0.0
4,0.9721615314483643,0.556,0.9045228272308647,1.3140776e-05,0.17053482,0.00875627,0.0,0.0,2.4629304,2.9421482,7.2656944e-06,0.20746179,0.008883961,0.0,0.0,2.475013,2.4741206,11850520807.575317,19641495.625657387,257287733955.54645,4696575598.113808,"[37880020867.92914, 425980286.1172722, 84332294645.0081, 36290637838.50021, 10762708484.575945, 62132533529.2819, 9947431609.708218, 1.4084559111396068e+16, 174861892674.39816, 119411402047.80937, 333097402960.6849, 2488097551.2780843, 29057096637.83193, 27810861385.18585, 48821717163.00466, 2546294236.2161036, 89146714649.50186, 20166984044.82633, 29630655850.903233, 675726476.6085347, 541828842271.5057, 78840442282290.31, 18935263098.762722, 25900726065.27412, 9626939888421.926, 27372068615.24881, 26438264155.78557, 165218265482.12268, 11930077794.894325, 4423176767.295243, 18263951469.46183, 16014075718.126415, 2592178497.1956606, 29697758861.463524, 127875024.84968005, 229118245916.391, 28989968.677019574, 186836672376.76782, 153058825075.5646, 6430667515.270236, 21507685944.373272, 1337530897745.8767, 375894505.4065177, 88918102827.09993, 117952681827.18385, 110093936.20875545, 44909851988.10151, 23191003875.22005, 382562701186.01373, 12068030385.759323, 9034819629.211048, 40858171410.54839, 23795725313.03305, 11385551288.163382, 145596286476.17145, 3445150813.8806925, 244760100384.07098, 53669330826.60988, 545179210769.90515, 15552735320.516478, 11558841120.321894, 15896328959.100395, 10087255948.801294, 9361166.991944246, 97615789787.90771, 103097458037.43692, 138741400.1200244, 9323024829.026878, 1452280301909.3896, 26848494635.90089, 11299254975.84717, 62324556428.39511, 298498422800.1055, 24050051987.694126, 130441442810.97198, 14933316192.81082, 360996805927.47314, 974070912582.9915, 296468182831.56354, 301939837533.2739, 289520912175.9633, 37195772558.26134, 24279781214.207577, 106485673644.11551, 76906230059.14145, 12178499066197.31, 10117380540.540398, 97200292606.0377, 3294460705.4788747, 262352548318.11545, 1100242255897.9988, 13614914080.383955, 64966803891.68239, 775149539490.0438, 457643169.43198395, 1660758091.5682356, 235271993.7994352, 94398194259.08199, 482804310.2086027, 1197817399.6740417]",0.0,0.0,0.0
5,0.9729694724082947,0.56,0.8944494364842834,1.3385908e-05,0.17053482,0.012446894,0.0,0.0,2.1169505,3.287363,7.2570288e-06,0.20746164,0.011913796,0.0,0.0,2.1574862,2.7905574,11682697416.99976,23132981.577541206,231945075343.28232,4652587305.778039,"[37879653098.30897, 372534929.3417635, 84331384495.3821, 36290287011.70766, 10762614876.00804, 62131906543.16317, 9947347294.894012, 1.4083675388845154e+16, 174859886284.03085, 119410079720.96544, 333093292329.5296, 2699677987.022191, 29056819071.359745, 27810597565.41711, 48821231990.52533, 2796944799.369139, 89145769175.08134, 20166796374.926655, 29630374818.28755, 616380042.9408785, 541821688504.07117, 78838349440580.3, 18935096478.281727, 25900487984.230026, 9626752495119.309, 27371813732.66402, 26438021305.60005, 165216391317.76157, 11929973272.090412, 4949867731.410991, 18263783740.20372, 16013934545.81676, 2287709700.6007533, 29697479947.398636, 97811305.97346196, 229115577706.74402, 24899706.028380796, 186834501968.759, 153057092065.98492, 5785310976.942485, 21507487149.16744, 1337511397149.507, 315769187.5490591, 88917169785.42041, 117951396888.67302, 95371110.14558828, 44909407571.40722, 23190786670.638042, 382557831097.8703, 12067926551.747608, 9034743396.897394, 40857773556.748955, 23795508793.28487, 11385453421.547028, 145594649214.85138, 3981556917.7022305, 244757107792.99896, 53668797864.200935, 545172013023.3562, 15552596490.487024, 11558741194.939096, 15896186593.611622, 10087169154.320282, 7720407.580141755, 97614730986.66531, 103096333176.88304, 114560554.45843342, 9322946161.078697, 1452258707436.7334, 26848241317.70171, 11299156977.89091, 62323922195.40305, 298494729792.568, 24049831092.708492, 130439989708.46274, 14933181716.32741, 360992240966.98474, 974057247318.202, 296464517818.111, 301936199685.6873, 289517359332.5742, 37195411172.77365, 24279560999.35668, 106484532720.07794, 76905407668.9071, 12178253288475.668, 10117295080.381287, 97199252900.8301, 3355471472.4973135, 262349395253.66437, 1100226289001.0938, 13614794417.750862, 64966150706.526955, 775138931274.89, 317435106.1282744, 1657735367.932707, 203082825.0991638, 94397163240.82971, 425042514.9939025, 1048814672.4885144]",0.0,0.0,0.0
6,0.9663366675376892,0.523,0.9303062970459766,1.3560968e-05,0.17053464,0.0033020792,0.0,0.0,-0.8271296,6.2135234,7.3148735e-06,0.20746227,0.0016851072,0.0,0.0,-0.8969065,5.831006,12498259374.91301,39919204.44131588,240882927300.17868,5620189009.107413,"[37880795625.650154, 904894682.106865, 84334164165.4515, 1628783640.0117562, 10762905154.404593, 85686540479.78987, 9947612146.123623, 15470687112834.828, 174866142140.12073, 249424225826.37555, 119414182769.72963, 996161375.394815, 29057679308.443142, 91724097227.72823, 27811418615.051285, 614416765.7076657, 12353430305.052334, 20167371291.30171, 122693686194.8688, 365128041.4166182, 198997412643.63654, 541843872725.3965, 18935628413.652733, 88668982059.00006, 25901243870.8317, 5304400573.512261, 2461324883.9694586, 26438793709.136982, 165222301317.10956, 919478879.9471912, 11930295287.786085, 343395826028.9023, 865070297.9864569, 16014378444.526617, 108759722.98218441, 29698350519.18937, 46855999.7250094, 229124004393.53616, 197576858830.69427, 186841264725.84537, 24491779199.652115, 21508101820.81536, 195094111.08134016, 1337573056033.5825, 88920117841.15074, 133989902.79119113, 26651655857.8749, 44910782459.869934, 23191451043.21517, 382572912689.6139, 12068251475.338251, 2416188473.2990613, 52043284340.36572, 23796195632.45824, 21770607244.762695, 845476996.0556748, 145599765049.98944, 502654306916511.1, 244766299788.65015, 53670482223.97026, 15553025886.732746, 11559054265.389177, 15896628655.49998, 24170033.10357183, 20902542105.260006, 10087439017.813482, 94902961.0959154, 103099816498.8641, 3922729614002.504, 9323192001.556944, 101927014372766.48, 11299460036.977577, 1725438642421.875, 62325906940.18096, 286979324963.1845, 24050524496.96629, 10655744799642.807, 14933593644.904928, 974100266725.652, 296475817064.9047, 301947745426.9383, 6968100029.799511, 5163398190.633615, 37196538049.261955, 335980471307.979, 24280264323.825615, 106488129240.3579, 76907926417.31166, 707090237.8347974, 10117564523.643852, 97202489927.08983, 14924813068.202068, 262359198667.02487, 13615166971.277641, 168730732.4601515, 453609187.1129637, 171425063.89009634, 64968218114.73199, 805654520.4380903, 1790747327.659203]",0.0,0.0,0.0
7,0.9679974913597107,0.605,0.9368215537496534,1.3399693e-05,0.17053469,0.000943835,0.0,0.0,-1.1323406,0.23941994,7.2550797e-06,0.20746213,0.0006510604,0.0,0.0,-3.0162961,1.6703486,16043750571.807987,64762774.74304331,335943949222.6717,8406454728.460621,"[37885329060.481995, 767923231.7517842, 5551475808.987605, 523146426.955111, 2562229876.9274154, 10764040487.751337, 85697729658.42601, 2429115990.7749376, 8281729765.775336, 15474658176220.604, 174890883040.88638, 246822448.03387117, 119430361837.86609, 5741452000.235769, 333157130065.6613, 148159826.80640617, 91736178637.09288, 27814638978.510357, 12354752113.386387, 105100008.22188254, 20169635079.049644, 122710355951.97548, 29634705583.142815, 541931988527.1161, 4223352310.03896, 1130473006.5580153, 491622411.22002083, 88680609795.35167, 25904224248.697685, 227773185.3726967, 27375781446.364178, 26441840997.43499, 271511302.9856856, 8083551286284789.0, 31050824.11294094, 2483122037.741785, 40201964.28691909, 2394600323.345338, 16016133606.450207, 304465504321.53815, 29701819379.468063, 229157554632.38144, 61078339.79121046, 5723168840.461023, 186867934952.16992, 114109246.93375227, 6666895590.46053, 21510528565.283215, 1337817183683.5842, 88931765798.39827, 113011972371.35808, 577857596.6599973, 26654734579.46498, 44916253724.89202, 3904001949.030883, 216384660.07400948, 7234189399559.621, 9035919569.823526, 1881888671.3161447, 40863947050.400215, 23798909514.588726, 11386967552.507395, 145619959291.81796, 20624806.447774787, 7496026173.322127, 244802372658.28882, 20929892.680588175, 53677143591.49533, 15554728871.510696, 11560282076.242857, 15898369271.471264, 20904894915.860744, 10088498404.821758, 2322132299.692045, 103113552199.83763, 3873265515.241606, 9324165681.540752, 3624710337.089832, 101961842314203.5, 11300657934.309784, 1725764157657.6277, 1946090856.3143032, 1598724445.5767186, 287022408128.7046, 24053267909.1975, 10658336833506.588, 14935221934.02066, 974270705241.2446, 230580490.00500846, 296520570767.5612, 301993375015.1226, 289571946790.31683, 37200978055.47647, 24283037152.25301, 50661460.797977075, 124437396.44999383, 43338919.9971492, 3491756632.547492, 575636362.7372975, 1584883001.352179]",0.0,0.0,0.0
8,0.9674586057662964,0.608,0.940990147889938,1.3810605e-05,0.17053472,0.00020280408,0.0,0.0,2.712328,2.6791477,7.5113035e-06,0.20746207,0.0012026731,0.0,0.0,2.6693337,2.2685847,17134137985.631695,68036547.91904695,364246480464.691,9236920602.947454,"[37886795337.69326, 487768615.5674477, 84348719185.73494, 2232121980.158227, 3447086277.906416, 10764409779.408354, 62144245730.639206, 9948993971.24792, 1.4100795116942896e+16, 174898939790.70517, 119435588953.33754, 259483723.98062775, 333173652434.534, 29062154673.817238, 27815683927.384426, 160962380.0976798, 12355180176.860956, 89164203027.45488, 20170365771.74098, 104449908.35260068, 29635822465.048084, 541960468680.8161, 78879185590886.08, 18938425923.797604, 5773655193.752148, 1856008509.9375958, 566958884.8051833, 10383992630450.979, 26442826720.88047, 367238603.7682185, 165253055797.80585, 11931980719.492256, 413550301.6286124, 18266986553.44511, 29775447.66694159, 3382074624.1577463, 35536093.21981258, 2541301413.8927555, 29702939227.99765, 7280250902.300129, 1755744938606.0078, 186876584210.5195, 148411586.3917798, 6598855252.28053, 21511318022.62195, 102621463.8911102, 1337896118095.964, 88935554157.55862, 113016899458.38644, 26655732111.227238, 44918027028.60455, 636182915.995143, 23194947498.258434, 7234728166816.241, 5131646909.019115, 234283748.68452156, 52051807186.07507, 23799787629.978558, 2252298691.69803, 11387357038.629013, 145626473516.5201, 502947697976266.8, 244814035829.7679, 11884047.03251463, 53679289712.58104, 15555278086.946571, 18067292.77121683, 11560681159.278019, 15898935143.330574, 10088840837.809101, 97635113631.2228, 103118008062.67851, 3923825473390.162, 3476561779.3902173, 1452681054221.8965, 5367484445.899275, 11301047910.856419, 4722907496.524749, 62336304928.193054, 298565781466.79175, 24054156583.624794, 3758239989.2328544, 4959594976.553331, 14935750365.156464, 361080196490.7282, 974326055083.671, 296535045376.5406, 302008159158.0481, 756142853.4626822, 37202413928.01792, 336048640920.81116, 24283933251.759094, 106507002589.12727, 76921072846.56168, 77225756.66100128, 263007086.4364124, 40345884.10774244, 10118971933.286804, 598237428.2500405, 1432003682.2802212]",0.0,0.0,0.0
9,0.9660927057266235,0.58,0.9378131232578102,1.3879725e-05,0.17053483,0.0008935518,0.0,0.0,-0.65117776,6.0413127,7.6028987e-06,0.20746176,0.000421973,0.0,0.0,2.183994,2.7516475,16255073774.85611,61095043.19609033,333949626243.094,8329669147.292067,"[37885300332.82498, 587539886.025741, 84345105536.74193, 750006315.0348263, 2140433198.1220052, 10764033638.104221, 62141670184.62285, 2915413214.1370173, 7145831132.879709, 1.4097212096444852e+16, 174890759378.44653, 200825048.80642492, 119430275206.53822, 4768732750.663379, 29061041641.94963, 115304310.37878649, 27814618515.143295, 48828719222.631905, 12354744057.28958, 86702715.5750154, 20169621234.937996, 29634684769.22897, 199025842242.642, 541931395954.17377, 3316629726.4161386, 975635603.866407, 384359672.01456267, 25904206446.72017, 9629627980622.273, 179820724.5886927, 26441823611.392986, 7392605356.717103, 251625408.8154487, 8083517426489594.0, 25635920.79368847, 1983981663.135484, 37140348.001352176, 2001514583.5120068, 16016122726.361126, 8104780701.423438, 29701797252.99312, 8001668792.919907, 81343349.71825352, 4636566646.548951, 197605043166.62463, 106388803.29666853, 5560703312.268799, 24494568472.071358, 21510514949.210217, 1337815613631.3591, 88931695861.66428, 472201977.7440116, 117971297104.18547, 26654715200.27685, 3446661895.101571, 173427365.10929492, 23194078088.90342, 7234177828416.246, 1486893676.3640933, 9035913986.287266, 40863916029.54296, 23798893812.325363, 11386960279.790634, 14936757.733780967, 6032839614.246407, 145619822422.4849, 16075318.274983179, 244802138169.07553, 53677101696.7849, 15554718452.593372, 11560274875.906693, 15898359262.690052, 20904880300.25575, 1846982363.226895, 97630869499.74673, 3255432270.596094, 254854987706.79303, 2954853632.2467923, 9324159897.028877, 101961656333800.12, 11300650925.850536, 1588221757.9595919, 1856062602.6913908, 62333722445.66214, 287022177119.32434, 24053252663.562363, 10658319269730.951, 14935212530.728193, 321378494.36173457, 974269847881.5538, 296520320906.6828, 301993067807.0423, 289571678305.97003, 37200952628.924, 42757565.32292238, 111739957.1241601, 34984076.367860556, 4847229549.664553, 471702550.4613476, 1490060885.311672]",0.0,0.0,0.0
