Planet_num Index Tc Tc_err
2 0 2440.54537726 0.00160436
2 6 2612.02574982 0.00250637
2 7 2640.60736004 0.00148431
2 9 2697.77200958 0.00142591
2 10 2726.35273503 0.00180679
2 13 2812.09764010 0.00179106
2 14 2840.67268727 0.00128646
2 17 2926.41826393 0.00154123
2 30 3297.97020318 0.00185038
2 32 3355.13063433 0.00101350
2 33 3383.71100572 0.00138701
2 35 3440.87612175 0.00165821
2 39 3555.19480526 0.00151829
2 40 3583.76764076 0.00193169
2 41 3612.34985606 0.00144395
2 42 3640.93325676 0.00207076
3 0 2433.91657462 0.00191245
3 6 2664.02531399 0.00200988
3 8 2740.71821503 0.00137613
3 10 2817.41084374 0.00216618
3 13 2932.46231394 0.00119700
3 24 3354.30350893 0.00180498
3 25 3392.65950889 0.00175963
3 29 3546.07284782 0.00151119
3 31 3622.77032492 0.00162143
3 32 3661.12761465 0.00169910
