Planet_num Index Tc Tc_err
2 0 1726.05497471 0.00228618
2 1 1754.63404397 0.00120305
2 2 1783.21147862 0.00170090
2 3 1811.80004292 0.00170138
2 4 1840.37532531 0.00047188
2 6 1897.53524654 0.00201893
2 7 1926.11644684 0.00166834
2 25 2440.54520822 0.00145387
2 32 2640.60652389 0.00192563
2 34 2697.77184061 0.00141563
2 35 2726.35306650 0.00311663
2 38 2812.09680375 0.00213651
2 39 2840.67274980 0.00120305
2 42 2926.41909617 0.00171135
2 55 3297.97070174 0.00213651
2 57 3355.12979823 0.00074610
2 58 3383.71043857 0.00117969
2 60 3440.87662011 0.00166834
2 64 3555.19563725 0.00120305
2 65 3583.77180949 0.00149221
2 66 3612.35002089 0.00217026
2 67 3640.93152183 0.00269011
3 0 1743.55283281 0.00188751
3 1 1781.90323028 0.00120305
3 2 1820.26508912 0.00192563
3 4 1896.96244394 0.00428922
3 6 1973.66389551 0.00074610
3 18 2433.91685404 0.00213651
3 23 2625.67300259 0.00124783
3 24 2664.02475927 0.00220437
3 25 2702.35364097 0.00319321
3 26 2740.71772493 0.00124783
3 28 2817.41052048 0.00212345
3 31 2932.46249122 0.00120305
3 42 3354.30345474 0.00269011
3 43 3392.66085399 0.00212345
3 47 3546.07312725 0.00149221
3 49 3622.77016853 0.00254113
3 50 3661.12739362 0.00291840
