Planet_num Index Tc Tc_err
2 0 1726.05497471 0.00169389
2 1 1754.63404397 0.00168826
2 2 1783.21147862 0.00193503
2 3 1811.79970925 0.00191011
2 4 1840.37532531 0.00169313
2 6 1897.53491287 0.00211201
2 7 1926.11611318 0.00198792
2 25 2440.54520822 0.00159443
2 32 2640.60685756 0.00177596
2 34 2697.77150694 0.00134045
2 35 2726.35289967 0.00196989
2 38 2812.09680375 0.00172934
2 39 2840.67308347 0.00127897
2 42 2926.41909617 0.00167213
2 55 3297.97103541 0.00167238
2 57 3355.12979823 0.00104266
2 58 3383.71060541 0.00142360
2 60 3440.87662011 0.00165044
2 64 3555.19563725 0.00134857
2 65 3583.77180949 0.00170205
2 66 3612.34968722 0.00146178
2 67 3640.93152183 0.00211902
3 0 1743.55283281 0.00212358
3 1 1781.90323028 0.00188651
3 2 1820.26542279 0.00192092
3 4 1896.96127611 0.00323188
3 6 1973.66389551 0.00161850
3 18 2433.91718771 0.00192186
3 23 2625.67300259 0.00155899
3 24 2664.02492611 0.00200200
3 25 2702.35263997 0.00237754
3 26 2740.71772493 0.00144856
3 28 2817.41035365 0.00219458
3 31 2932.46249122 0.00125066
3 42 3354.30378840 0.00175624
3 43 3392.66102082 0.00180240
3 47 3546.07312725 0.00147776
3 49 3622.77016853 0.00164681
3 50 3661.12722679 0.00174088
